,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
46,Ponta do Sol,25,PT,1635074016,46,32.6667,-17.1,75.13,4.92
47,Taksimo,26,RU,1635074018,78,56.3444,114.8794,31.15,2.48
48,Hilo,75,US,1635073947,80,19.7297,-155.09,72.28,6.91
49,Nikolskoye,70,RU,1635074022,63,59.7035,30.7861,36.88,7.2
50,Port Elizabeth,80,ZA,1635073851,49,-33.918,25.5701,65.07,10.45
51,Xuanzhou,99,CN,1635074026,73,30.9525,118.7553,62.31,2.44
52,Vardø,82,NO,1635074027,59,70.3705,31.1107,32.2,21.97
53,Campos Altos,42,BR,1635074029,64,-19.6961,-46.1714,74.26,11.79
54,Klaksvík,91,FO,1635074031,93,62.2266,-6.589,50.92,20.87
55,Puerto Ayora,98,EC,1635074033,90,-0.7393,-90.3518,69.03,7.65
56,Pascagoula,1,US,1635074035,100,30.3658,-88.5561,69.85,0.0
57,Barrow,90,US,1635073802,86,71.2906,-156.7887,28.42,9.22
58,Contamana,34,PE,1635074038,86,-7.3333,-75.0167,74.03,3.11
59,Somerset,1,US,1635074041,94,40.5668,-74.5496,48.88,1.01
60,Berbera,3,SO,1635074042,49,10.4396,45.0143,88.39,14.9
61,Thompson,90,CA,1635074044,93,55.7435,-97.8558,28.56,2.3
62,Chokurdakh,62,RU,1635074046,100,70.6333,147.9167,-17.05,3.78
63,Alyangula,78,AU,1635074048,79,-13.8483,136.4192,81.73,10.65
64,Kudahuvadhoo,84,MV,1635074050,73,2.6708,72.8944,82.98,13.76
65,Flinders,32,AU,1635074052,79,-34.5833,150.8552,61.81,6.33
66,Luanda,75,AO,1635074054,78,-8.8368,13.2343,78.8,8.05
67,Porto-Novo,97,BJ,1635074056,68,6.4965,2.6036,84.18,5.14
68,Bandarbeyla,11,SO,1635074058,62,9.4942,50.8122,81.9,11.03
69,Port Alfred,92,ZA,1635074060,62,-33.5906,26.891,63.57,10.83
70,Cape Town,0,ZA,1635073883,35,-33.9258,18.4232,72.12,4.0
71,Asău,57,RO,1635074063,41,46.4333,26.4,52.39,4.65
72,Dunedin,74,NZ,1635074065,91,-45.8742,170.5036,56.8,5.01
73,Oxelösund,0,SE,1635074067,71,58.6706,17.1015,50.52,11.5
74,Aswān,0,EG,1635074020,18,24.0934,32.907,89.56,10.11
75,Alofi,90,NU,1635074070,68,-19.0595,-169.9187,73.94,17.74
76,Atuona,14,PF,1635074013,71,-9.8,-139.0333,77.79,17.29
77,Nhulunbuy,45,AU,1635074074,74,-12.2333,136.7667,83.01,8.05
78,Maricá,84,BR,1635074076,74,-22.9194,-42.8186,83.86,8.61
79,Beyneu,15,KZ,1635074078,22,45.3167,55.2,65.77,9.73
80,Bilibino,97,RU,1635074080,100,68.0546,166.4372,-9.74,2.48
81,La Romana,20,DO,1635074082,94,18.4273,-68.9728,80.33,0.0
82,Dikson,100,RU,1635074084,86,73.5069,80.5464,7.16,18.1
83,Mahébourg,75,MU,1635074086,69,-20.4081,57.7,80.26,14.97
84,Marsh Harbour,57,BS,1635074087,76,26.5412,-77.0636,80.1,9.31
85,Yellowknife,100,CA,1635074089,88,62.456,-114.3525,41.56,15.99
86,Vrangel',0,RU,1635074091,63,42.7297,133.0839,51.21,7.02
87,Constitución,0,CL,1635074093,76,-35.3333,-72.4167,50.63,5.91
88,Vila do Maio,36,CV,1635074095,72,15.1333,-23.2167,79.2,17.13
89,Nanfeng,3,CN,1635074097,69,23.7434,111.7959,66.56,1.54
90,San Patricio,0,US,1635074098,93,28.017,-97.5169,78.64,6.33
91,Tamworth,98,GB,1635074100,81,52.634,-1.6959,56.62,8.99
92,Ilulissat,75,GL,1635074102,63,69.2167,-51.1,21.22,16.11
93,Morón,0,AR,1635074056,62,-34.6534,-58.6198,60.03,7.0
94,Tyumentsevo,84,RU,1635074106,62,53.3224,81.498,51.26,16.78
95,Saint-Augustin,100,CA,1635074109,90,51.226,-58.6502,43.27,8.3
96,Waterloo,90,CA,1635074111,99,43.4668,-80.5164,37.47,1.01
97,Lüderitz,0,NA,1635074113,45,-26.6481,15.1594,74.03,22.15
98,Rawson,19,AR,1635074114,35,-43.3002,-65.1023,53.89,15.66
99,Muroto-misakicho,94,JP,1635074116,62,33.2833,134.15,63.84,9.24
100,Yala,100,TH,1635074118,92,6.3333,101.25,77.65,2.17
101,Mirandopólis,100,BR,1635074120,95,-21.1336,-51.1017,65.68,7.56
102,Garden City,1,US,1635074122,87,42.3256,-83.331,37.4,0.0
103,Port Hardy,75,CA,1635074124,87,50.6996,-127.4199,48.2,3.44
104,Tandil,0,AR,1635074126,65,-37.3217,-59.1332,47.57,12.39
105,Zhaotong,100,CN,1635074128,95,27.3167,103.7167,47.89,4.07
106,Busselton,100,AU,1635074130,85,-33.65,115.3333,64.09,9.8
107,Santa Fe,0,AR,1635074132,61,-31.6333,-60.7,63.91,1.99
108,Ribeira Grande,20,PT,1635074134,60,38.5167,-28.7,68.4,9.22
109,Iqaluit,90,CA,1635074136,86,63.7506,-68.5145,29.93,8.99
110,Dingle,100,PH,1635074138,87,10.9995,122.6711,78.04,0.22
111,Polson,67,US,1635074140,98,47.6936,-114.1632,42.76,1.14
112,Bethel,1,US,1635074142,91,41.3712,-73.414,44.56,3.44
113,Beringovskiy,5,RU,1635074143,83,63.05,179.3167,9.14,7.54
114,Whitianga,100,NZ,1635074145,96,-36.8333,175.7,59.02,13.22
115,Zhangye,13,CN,1635074147,33,38.9342,100.4517,49.62,7.0
116,Auki,76,SB,1635074149,86,-8.7676,160.7034,78.73,2.21
117,Mitú,70,CO,1635074151,97,1.1983,-70.1733,71.94,1.86
118,Murgab,0,TM,1635074153,31,37.4966,61.9714,73.27,9.22
119,Borger,66,NL,1635074154,69,52.9233,6.7931,54.97,11.68
120,Udachny,100,RU,1635074156,91,66.4167,112.4,22.55,6.69
121,Poum,60,NC,1635074158,77,-20.2333,164.0167,74.28,11.48
122,Souillac,75,MU,1635074160,69,-20.5167,57.5167,80.37,14.97
123,Shimoda,98,JP,1635074162,66,34.6667,138.95,61.38,6.15
124,Nanortalik,24,GL,1635074164,70,60.1432,-45.2371,35.17,17.78
125,Yulara,79,AU,1635074165,35,-25.2406,130.9889,73.24,14.97
126,Saint-Philippe,14,RE,1635074167,68,-21.3585,55.7679,81.95,9.66
127,Cap-aux-Meules,90,CA,1635074169,100,47.3821,-61.8597,53.65,14.97
128,East London,20,ZA,1635074171,68,-33.0153,27.9116,65.34,11.5
129,Codrington,74,AU,1635074173,58,-38.2667,141.9667,51.13,12.73
130,Inuvik,90,CA,1635074175,100,68.3499,-133.7218,23.86,4.61
131,Cidreira,98,BR,1635074177,82,-30.1811,-50.2056,61.97,14.07
132,Ahvāz,0,IR,1635074179,17,31.3203,48.6693,93.15,4.61
133,Bambous Virieux,75,MU,1635074180,69,-20.3428,57.7575,80.22,14.97
134,Belmonte,34,BR,1635074182,83,-15.8631,-38.8828,79.3,2.73
135,Dillon,0,US,1635074184,65,34.4166,-79.3712,52.86,5.08
136,Shelburne,22,CA,1635074117,97,44.0787,-80.2041,37.29,5.99
137,Faanui,100,PF,1635074187,95,-16.4833,-151.75,74.97,12.82
138,Polunochnoye,100,RU,1635074189,93,60.8697,60.4153,34.09,3.0
139,Lebu,47,CL,1635074191,87,-37.6167,-73.65,50.38,4.54
140,Berdigestyakh,100,RU,1635074193,89,62.0989,126.6992,31.32,6.69
141,Provideniya,93,RU,1635074195,81,64.3833,-173.3,21.65,8.48
142,Flin Flon,90,CA,1635074116,81,54.7682,-101.865,37.24,10.36
143,Araouane,34,ML,1635074199,16,18.9048,-3.5265,96.91,15.52
144,Khatanga,63,RU,1635074201,91,71.9667,102.5,1.49,15.39
145,Chapais,94,CA,1635074202,85,49.7834,-74.8492,28.18,3.06
146,Ancud,100,CL,1635074202,95,-41.8697,-73.8203,51.42,13.87
147,Ganta,74,LR,1635074206,60,7.3022,-8.5308,85.39,1.77
148,Naze,100,JP,1635074208,62,28.3667,129.4833,71.02,18.95
149,Carutapera,11,BR,1635074210,71,-1.195,-46.02,83.93,8.99
150,Thessalon,100,CA,1635074212,83,46.2501,-83.5666,39.69,10.29
151,Boyolangu,92,ID,1635074213,80,-8.1181,111.8935,78.15,6.71
152,Taoudenni,0,ML,1635074215,14,22.6783,-3.9836,93.99,8.5
153,High Rock,88,BS,1635074217,78,26.6208,-78.2833,75.22,13.22
154,Pedernales,24,DO,1635074219,65,18.0384,-71.744,79.68,3.69
155,Tigil',100,RU,1635074221,97,57.8,158.6667,26.76,3.33
156,Ahipara,11,NZ,1635074223,96,-35.1667,173.1667,57.33,2.1
157,Kaitangata,96,NZ,1635074225,97,-46.2817,169.8464,50.54,2.28
158,Northam,91,GB,1635074227,94,51.0333,-4.2167,57.42,16.06
159,Todos Santos,21,MX,1635074229,82,23.45,-110.2167,75.0,5.53
160,Aden,27,YE,1635074214,61,12.7794,45.0367,85.23,11.32
161,Kununurra,73,AU,1635074233,61,-15.7667,128.7333,84.18,9.22
162,Micheweni,64,TZ,1635074234,60,-4.9667,39.8333,84.38,3.31
163,Langsa,94,ID,1635074236,88,4.4683,97.9683,78.93,2.55
164,Chitipa,81,MW,1635074238,21,-9.7024,33.2697,92.79,8.81
165,Praia,20,CV,1635074240,61,14.9215,-23.5087,82.94,21.85
166,Marystown,100,CA,1635074242,100,47.1666,-55.1483,58.86,12.26
167,Paka,40,MY,1635074244,89,4.6374,103.4368,82.33,0.0
168,Kavieng,100,PG,1635074245,77,-2.5744,150.7967,82.42,9.51
169,At-Bashi,0,KG,1635074247,38,41.1702,75.8106,41.11,3.47
170,Chuguyevka,0,RU,1635074249,63,44.1653,133.8633,40.46,3.51
171,Christchurch,31,NZ,1635073981,80,-43.5333,172.6333,60.48,1.01
172,São Filipe,13,CV,1635074252,64,14.8961,-24.4956,80.73,8.12
173,Homer,1,US,1635074254,87,59.6425,-151.5483,43.03,0.0
174,Novikovo,74,RU,1635074256,51,51.1537,37.8879,48.09,14.52
175,Laas,0,IT,1635074258,30,46.6166,10.7002,57.94,4.63
176,Kumul,100,CN,1635074260,37,42.8,93.45,52.36,4.65
177,New Norfolk,96,AU,1635074262,68,-42.7826,147.0587,47.7,3.0
178,Richards Bay,100,ZA,1635074264,68,-28.783,32.0377,65.75,11.16
179,Narsaq,26,GL,1635074266,50,60.9167,-46.05,32.22,4.38
180,Gangānagar,27,IN,1635074268,46,29.9167,73.8833,81.68,3.71
181,Tiksi,100,RU,1635074270,94,71.6872,128.8694,4.8,9.17
182,Margate,42,GB,1635074204,64,51.3813,1.3862,58.17,4.0
183,Namatanai,57,PG,1635074274,80,-3.6667,152.4333,80.51,6.87
184,Puri,5,IN,1635074276,59,19.8,85.85,88.32,4.34
185,Kysyl-Syr,100,RU,1635074278,86,63.8986,122.7617,31.05,7.99
186,Thunder Bay,57,CA,1635074028,84,48.4001,-89.3168,33.98,5.79
187,Muzhi,14,RU,1635074281,74,65.3667,64.6667,28.11,15.9
188,Aksu,1,CN,1635074283,23,41.1231,80.2644,59.23,3.4
189,Castro,100,BR,1635074286,98,-24.7911,-50.0119,60.04,7.36
190,Torbay,75,CA,1635074288,98,47.6666,-52.7314,60.76,10.36
191,Kropotkin,100,RU,1635074290,94,45.4375,40.5756,53.04,8.86
192,Longyearbyen,0,SJ,1635074292,79,78.2186,15.6401,17.44,6.91
193,Perth,75,AU,1635074101,79,-31.9333,115.8333,66.2,14.97
194,Rio Grande,8,BR,1635074020,77,-32.035,-52.0986,58.95,14.81
195,Gallup,1,US,1635074297,62,35.5281,-108.7426,48.96,4.61
196,Pathein,100,MM,1635074298,88,16.7833,94.7333,78.39,4.43
197,Cap Malheureux,40,MU,1635074300,64,-19.9842,57.6142,80.47,11.01
198,George Town,40,MY,1635074194,78,5.4112,100.3354,84.88,5.75
199,Bath,85,GB,1635074200,88,51.3779,-2.3591,58.71,15.1
200,Amuntai,77,ID,1635074305,80,-2.4177,115.2494,79.9,0.94
201,Ocós,99,GT,1635074307,86,14.5094,-92.1933,81.32,7.63
202,Henties Bay,64,NA,1635074309,73,-22.116,14.2845,60.85,11.61
203,Leningradskiy,100,RU,1635074311,95,69.3833,178.4167,9.9,7.58
204,Hithadhoo,33,MV,1635074314,73,-0.6,73.0833,82.83,13.69
205,Kommunar,84,RU,1635074315,62,59.6206,30.39,36.93,8.63
206,Airai,80,TL,1635074317,87,-8.9266,125.4092,65.17,2.08
207,Bom Jardim,98,BR,1635074319,62,-7.7958,-35.5872,79.14,9.57
208,Khorixas,54,NA,1635074321,7,-20.3667,14.9667,89.22,12.15
209,Assiniboia,100,CA,1635074323,87,49.6334,-105.9845,37.31,10.36
210,Pevek,100,RU,1635074325,93,69.7008,170.3133,8.42,2.57
211,Hay River,75,CA,1635074236,87,60.8156,-115.7999,39.18,8.05
212,Laguna,90,US,1635074328,93,38.421,-121.4238,59.02,5.01
213,Zavyalovo,85,RU,1635074330,72,54.5053,82.4484,51.26,16.71
214,Lucapa,44,AO,1635074332,37,-8.4192,20.7447,91.83,3.49
215,Livingstonia,59,MW,1635074333,33,-10.606,34.1063,83.97,6.93
216,Praia da Vitória,40,PT,1635074335,77,38.7333,-27.0667,70.75,11.05
217,Saint-Joseph,14,RE,1635074337,73,-21.3667,55.6167,80.96,3.98
218,Labuan,20,MY,1635074339,83,5.2767,115.2417,84.11,1.14
219,Tarija,99,BO,1635074341,82,-21.5355,-64.7296,53.55,3.31
220,Talnakh,100,RU,1635074343,89,69.4865,88.3972,21.34,5.1
221,Saldanha,0,ZA,1635074345,60,-33.0117,17.9442,62.67,18.12
222,Kutum,2,SD,1635074347,16,14.2,24.6667,88.23,15.46
223,Davila,57,PH,1635074349,82,18.4726,120.5763,84.18,14.88
224,Atar,0,MR,1635074351,12,20.5169,-13.0499,93.83,9.62
225,Pitimbu,94,BR,1635074352,68,-7.4706,-34.8086,82.99,14.09
226,Anadyr,75,RU,1635074355,84,64.75,177.4833,-1.7,6.71
227,Escanaba,1,US,1635074184,97,45.7453,-87.0646,41.31,4.61
228,Atasū,3,KZ,1635074358,33,48.6814,71.6433,53.35,7.36
229,Shingū,99,JP,1635074360,83,33.7333,135.9833,58.68,6.58
230,Talara,100,PE,1635074362,81,-4.5772,-81.2719,66.61,11.18
231,Emirdağ,3,TR,1635074363,37,39.0197,31.15,63.39,12.75
232,Chara,21,RU,1635074365,66,56.9064,118.2631,30.4,1.81
233,Eyl,5,SO,1635074368,57,7.9803,49.8164,85.1,14.85
234,Sittwe,91,MM,1635074369,72,20.15,92.9,80.65,8.68
235,Shellbrook,100,CA,1635074371,72,53.2168,-106.4011,34.83,13.8
236,Razdol'noye,0,RU,1635074373,59,43.55,131.9167,37.81,3.0
237,Marsabit,32,KE,1635074375,35,2.3284,37.9899,82.42,16.91
238,West Hartford,1,US,1635074297,94,41.762,-72.742,42.87,1.01
239,Zarumilla,100,PE,1635074378,85,-3.5031,-80.2731,71.33,2.44
240,Shahr-e Kord,40,IR,1635074380,15,32.3256,50.8644,64.17,23.02
241,Troitskoye,100,RU,1635074382,56,52.9821,84.6757,45.91,17.67
242,Baley,11,RU,1635074384,83,51.6,116.6333,27.84,4.83
243,Rosário do Sul,7,BR,1635074386,82,-30.2583,-54.9142,57.76,8.93
244,Sambava,37,MG,1635074388,84,-14.2667,50.1667,79.3,8.57
245,Adrar,0,MR,1635074390,11,20.5022,-10.0711,90.93,9.75
246,Loksa,99,EE,1635074392,61,59.5764,25.7214,41.94,5.82
247,Avarua,20,CK,1635074394,68,-21.2078,-159.775,69.85,4.61
248,Vestmannaeyjar,75,IS,1635074396,93,63.4427,-20.2734,47.39,16.11
249,Bǝrdǝ,0,AZ,1635074397,28,40.3744,47.1267,72.68,3.6
250,Petropavlovsk-Kamchatskiy,40,RU,1635074399,69,53.0452,158.6483,30.79,8.95
251,Lakes Entrance,8,AU,1635074401,63,-37.8811,147.981,50.16,15.21
252,Aklavik,94,CA,1635074403,95,68.2191,-135.0107,23.83,2.91
253,Samarai,26,PG,1635074406,85,-10.6167,150.6667,80.92,11.56
254,Kresttsy,99,RU,1635074408,74,58.2452,32.5165,36.43,9.55
255,Guerrero Negro,1,MX,1635074410,76,27.9769,-114.0611,63.54,11.36
256,Lagoa,42,PT,1635074412,61,39.05,-27.9833,66.06,10.38
257,Bose,99,IT,1635074414,77,45.4612,8.0137,60.94,2.75
258,Ambilobe,26,MG,1635074416,31,-13.2,49.05,98.73,11.32
259,Marsá Maţrūḩ,1,EG,1635074418,58,31.3525,27.2453,75.0,9.28
260,Chui,2,UY,1635074419,76,-33.6971,-53.4616,55.13,10.98
261,Zeya,18,RU,1635074421,87,53.75,127.2667,36.46,2.73
262,Umluj,0,SA,1635074423,58,25.0213,37.2685,82.87,12.41
263,Rio Branco,0,BR,1635074425,88,-9.9747,-67.81,77.61,3.44
264,Vanimo,94,PG,1635074427,85,-2.6741,141.3028,79.41,5.93
265,Okhotsk,87,RU,1635074429,72,59.3833,143.3,19.22,5.28
266,Acarí,57,PE,1635074431,74,-15.4311,-74.6158,62.56,4.38
267,Iranshahr,0,IR,1635074432,12,27.2025,60.6848,89.94,9.22
268,Arraial do Cabo,40,BR,1635074434,73,-22.9661,-42.0278,78.76,10.36
269,São João da Barra,10,BR,1635074392,81,-21.6403,-41.0511,77.09,14.58
270,Bengkulu,85,ID,1635074268,83,-3.8004,102.2655,78.71,0.83
271,Kahului,1,US,1635074439,76,20.8947,-156.47,77.85,17.27
272,Keti Bandar,0,PK,1635074441,44,24.1447,67.4497,84.11,13.09
273,Empalme,0,MX,1635074443,81,27.9667,-110.8167,68.92,5.26
274,Belyy Yar,0,RU,1635074445,50,53.6039,91.3903,49.89,17.9
275,San Juan de los Morros,74,VE,1635074447,90,9.9115,-67.3538,73.42,3.02
276,Hasaki,87,JP,1635074449,47,35.7333,140.8333,50.4,6.11
277,Padang,95,ID,1635074450,90,-0.9492,100.3543,78.85,3.49
278,Aktobe,0,KZ,1635074452,31,50.2797,57.2072,60.89,17.9
279,Makkah al Mukarramah,3,SA,1635074385,22,21.4267,39.8261,97.54,12.5
280,Mlonggo,48,ID,1635074456,73,-6.5333,110.7,85.89,7.54
281,Hobyo,14,SO,1635074457,67,5.3505,48.5268,83.16,13.2
282,Yaransk,100,RU,1635074459,95,57.3033,47.8861,37.96,12.1
283,Qūchān,21,IR,1635074461,14,37.106,58.5095,65.89,7.36
284,Lompoc,75,US,1635074464,92,34.6391,-120.4579,57.13,0.0
285,Severnyy,75,RU,1635074465,57,50.677,36.5532,44.64,15.66
286,Kiryat Gat,0,IL,1635074467,35,31.61,34.7642,81.39,11.52
287,Srednekolymsk,78,RU,1635074469,96,67.45,153.6833,-10.17,3.15
288,Grindavik,75,IS,1635074471,87,63.8424,-22.4338,46.35,9.22
289,Harnai,0,PK,1635074473,23,30.1005,67.9374,75.51,8.43
290,Imbituba,100,BR,1635074475,90,-28.24,-48.6703,67.82,17.2
291,Riviere-au-Renard,100,CA,1635074477,91,48.9957,-64.3971,46.4,17.96
292,Lorengau,95,PG,1635074479,77,-2.0226,147.2712,82.27,7.61
293,Valparaíso,0,CL,1635074402,62,-33.0393,-71.6273,56.48,0.0
294,Iskateley,64,RU,1635074482,86,67.6803,53.1512,26.64,7.07
295,Geraldton,90,AU,1635074484,77,-28.7667,114.6,67.12,17.27
296,Terenos,75,BR,1635074486,94,-20.4422,-54.8603,67.71,17.27
297,Cumbitara,100,CO,1635074488,96,1.6517,-77.5823,56.91,1.5
298,Hauterive,0,FR,1635074490,46,46.0901,3.4459,62.1,4.63
299,Waipawa,99,NZ,1635074492,91,-41.4122,175.5153,57.45,5.01
300,Jalu,58,LY,1635074494,20,29.0331,21.5482,86.88,10.0
301,Vila Franca do Campo,36,PT,1635074496,62,37.7167,-25.4333,68.41,6.04
302,Inta,94,RU,1635074498,96,66.0317,60.1659,26.51,12.62
303,Toktogul,0,KG,1635074500,38,41.8708,72.9402,56.57,0.56
304,Nouadhibou,0,MR,1635074502,57,20.931,-17.0347,75.18,17.27
305,Panabá,79,MX,1635074503,96,21.2833,-88.2667,74.07,5.46
306,Cockburn Town,82,TC,1635074505,70,21.4612,-71.1419,82.72,19.44
307,Mount Gambier,33,AU,1635074507,77,-37.8333,140.7667,44.1,6.22
308,Cherskiy,91,RU,1635074509,100,68.75,161.3,-9.9,6.02
309,Orlik,50,RU,1635074511,77,52.5178,99.825,30.16,5.14
310,Warrnambool,89,AU,1635074513,60,-38.3833,142.4833,50.81,12.3
311,Norman Wells,40,CA,1635074514,86,65.282,-126.8329,17.64,2.3
312,Hambantota,60,LK,1635074516,67,6.1241,81.1185,84.72,21.65
313,Esperance,73,AU,1635074518,42,-33.8667,121.9,71.02,13.27
314,Staryy Nadym,69,RU,1635074520,78,65.6118,72.6842,27.95,22.37
315,Atambua,77,ID,1635074522,76,-9.1061,124.8925,78.75,0.18
316,Yamada,5,JP,1635074524,79,39.4667,141.95,50.45,6.24
317,Husavik,100,IS,1635074526,96,66.0449,-17.3389,30.11,3.33
318,Shizunai-furukawachō,2,JP,1635074528,76,42.3339,142.3669,53.44,9.75
319,Matara,59,LK,1635074530,70,5.9485,80.5353,82.87,12.39
320,Nizwá,3,OM,1635074532,24,22.9333,57.5333,92.28,13.29
321,São Francisco de Assis,18,BR,1635074534,86,-29.5503,-55.1311,58.39,6.13
322,Alexandria,40,EG,1635074261,53,31.2156,29.9553,78.76,10.36
323,Leh,100,IN,1635074537,75,34.1667,77.5833,35.46,4.97
324,Port Lincoln,2,AU,1635074539,73,-34.7333,135.8667,55.36,13.51
325,Severo-Kuril'sk,100,RU,1635074541,75,50.6789,156.125,37.99,9.24
326,Terråk,100,NO,1635074543,93,65.087,12.3715,48.07,9.46
327,Iberia,1,US,1635074471,94,29.9502,-91.7507,73.47,5.75
328,Merke,0,KZ,1635074546,42,42.8728,73.1786,57.6,6.24
329,Sisimiut,51,GL,1635074549,84,66.9395,-53.6735,18.82,8.34
330,Brae,100,GB,1635074551,93,60.3964,-1.353,53.51,16.22
331,Korla,9,CN,1635074552,28,41.7597,86.1469,57.29,5.46
332,Askiz,100,RU,1635074554,81,53.1319,90.5264,44.85,14.58
333,Ulaangom,61,MN,1635074556,60,49.9811,92.0667,38.48,3.58
334,Santa Isabel,100,BR,1635074558,96,-23.3156,-46.2214,69.1,3.98
335,Fuerte Olimpo,96,PY,1635074560,91,-21.0415,-57.8738,67.64,10.76
336,Kavaratti,90,IN,1635074562,71,10.5669,72.642,82.08,2.75
337,Abu Samrah,0,SY,1635074563,25,35.3029,37.1841,77.25,6.69
338,Sorong,81,ID,1635074565,79,-0.8833,131.25,81.18,7.14
339,Abalak,71,RU,1635074567,81,58.1286,68.5944,43.18,5.68
340,Kidal,18,ML,1635074569,21,18.4411,1.4078,96.93,4.54
341,Mizdah,41,LY,1635074571,31,31.4451,12.9801,81.1,14.76
342,Herat Province,0,AF,1635074573,15,34.5,62.0,65.53,3.24
343,Kansk,100,RU,1635074506,80,56.2017,95.7175,42.89,23.31
344,Nombre de Dios,10,MX,1635074576,76,23.85,-104.2333,55.35,2.46
345,Kapit,100,MY,1635074578,98,2.0167,112.9333,75.36,1.16
346,Sola,25,VU,1635074580,78,-13.8833,167.55,80.98,15.9
347,Rødbyhavn,100,DK,1635074581,68,54.6544,11.352,53.15,17.9
348,Nome,90,US,1635074584,80,64.5011,-165.4064,24.87,4.61
349,Tura,6,IN,1635074585,87,25.5198,90.2201,73.4,1.86
350,Maţāy,0,EG,1635074587,26,28.419,30.7792,81.34,15.08
351,Kanniyākumāri,77,IN,1635074589,76,8.0833,77.5667,82.51,17.31
352,Bangassou,7,CF,1635074591,42,4.7413,22.8184,93.4,3.2
353,Kalmunai,97,LK,1635074593,72,7.4167,81.8167,82.98,8.23
354,Akureyri,90,IS,1635074594,100,65.6835,-18.0878,30.13,0.0
355,Cabo San Lucas,5,MX,1635074596,76,22.8909,-109.9124,75.51,7.0
356,Rock Sound,86,BS,1635074598,74,24.9,-76.2,80.94,7.9
357,Beloha,0,MG,1635074600,28,-25.1667,45.05,90.46,14.36
